"","logFC","logCPM","PValue","FDR","ID"
"32512",-8.39374665123764,8.75824526168058,1.99740154977582e-134,7.20762349236606e-130,"32512"
"28369",-5.35492423148794,-0.557996345766084,0.000111129286007914,0.00582863413604007,"28369"
"29298",-4.92010747835097,-0.495233255404769,0.00134626250920784,0.0470279599658906,"29298"
"8386",-4.13015293581286,1.82336440887214,1.19785221736373e-15,3.5722725011215e-13,"8386"
"21538",-4.11164199947395,1.96509552339177,1.2452362807001e-18,5.91241463013988e-16,"21538"
"38905",-4.0909892207135,0.508030793758103,1.05128598844858e-05,0.000742380721979785,"38905"
"21466",-3.96195563775365,0.198597767393593,3.12976766325987e-05,0.00191095881774505,"21466"
"36443",-2.7927033751439,0.179931142367322,3.3645509221383e-05,0.00203026454891907,"36443"
"39878",-2.65112614256981,1.23817172748653,1.36352333554496e-06,0.000117992181206571,"39878"
"29428",-2.4031165191167,3.76341084456498,7.42397145949788e-18,3.1516942366586e-15,"29428"
"28096",-2.32273246583008,5.03066137874457,1.27038405571831e-18,5.95348164293443e-16,"28096"
"31461",-2.2136900702981,5.83055161483764,7.51957372825869e-19,3.76866413866965e-16,"31461"
"22873",-2.20620765817968,1.04390061277125,4.2012835418644e-06,0.000328857519757433,"22873"
"31462",-2.17174157951534,5.64473940209631,4.07852027239784e-18,1.81695560530217e-15,"31462"
"1388",-2.12475783932764,1.35285709599652,3.04558038990949e-06,0.000245311982968491,"1388"
"39893",-2.10566543883884,0.635284424929711,8.99901978658515e-05,0.0048978827903307,"39893"
"31463",-2.08802476151613,5.19257717332509,2.31983675281987e-16,7.82348684350513e-14,"31463"
"29425",-2.07512088339061,3.95846237411045,1.52457493188317e-14,4.13641251255671e-12,"29425"
"17080",-2.02764084755915,1.01898889749173,5.46631246982621e-05,0.00314516713772318,"17080"
"11347",-2.02016089924308,4.96298687572579,3.84424898095651e-15,1.09941634189487e-12,"11347"
"13182",-1.97400688045427,5.09878066122773,3.85742290250056e-14,9.94250753119519e-12,"13182"
"29427",-1.91202461945061,5.84991880716467,5.29473875257326e-15,1.48109029369462e-12,"29427"
"23645",-1.83269720186113,0.733970437922297,0.00111186922719196,0.04056804960892,"23645"
"30285",-1.82197210026263,1.1874975812721,2.9223251884813e-05,0.00180260007566406,"30285"
"4694",-1.80409225652066,2.67696653781469,1.3702756211418e-07,1.44580104645912e-05,"4694"
"1389",-1.80389363005877,1.55004292768205,1.07978943775981e-05,0.000759536098665942,"1389"
"8671",-1.8000980786953,1.6616002424952,2.13506750975351e-05,0.00136845312769903,"8671"
"35403",-1.77189594384013,3.18280919285422,3.08560717071953e-08,3.63869721422923e-06,"35403"
"23768",-1.73642820092028,1.32668017230689,0.000104534761710667,0.00556609640077986,"23768"
"37152",-1.73408524939116,2.23646015261798,1.20458796190812e-07,1.2898384749393e-05,"37152"
"30002",-1.72478747902514,2.53690900074531,4.64976598900992e-07,4.46241504556976e-05,"30002"
"29426",-1.71455763789328,5.34140966156396,3.80870565195374e-12,7.59321234534535e-10,"29426"
"23324",-1.70600907272762,6.89781256323301,9.31023946385811e-13,2.07382710526741e-10,"23324"
"23323",-1.68842424264376,7.05700435852512,1.39820614852216e-12,3.02121370475582e-10,"23323"
"22047",-1.68471090743977,6.27071397899763,3.5206867949908e-12,7.05799905540239e-10,"22047"
"23322",-1.67375554144715,7.12921062801306,2.06085492494083e-12,4.2986098246526e-10,"23322"
"40359",-1.66811509420775,0.607275302828631,0.000585500854325919,0.0236699780556182,"40359"
"2157",-1.66698354178573,1.65130686293536,6.08609288683203e-06,0.000458489899418234,"2157"
"6282",-1.6504885524998,3.61560398340751,3.39567662867079e-08,3.98241460444853e-06,"6282"
"38706",-1.63764373460157,8.55557346771636,3.3159515159284e-12,6.6846989079484e-10,"38706"
"37153",-1.60542197779378,4.37511486120249,4.59517870658034e-10,7.20943580986747e-08,"37153"
"32400",-1.59957508676374,3.22014541472864,4.93482563255568e-07,4.72342660346874e-05,"32400"
"10809",-1.59306325329881,1.84369641728538,1.03620023104011e-05,0.00073316245758985,"10809"
"1387",-1.58984077503254,1.45213807552072,0.000146314000369325,0.00736365509529581,"1387"
"23524",-1.57258846887135,2.95026980723745,6.83860640640873e-07,6.34373039010949e-05,"23524"
"30288",-1.56142382341201,1.34090895176802,8.86550035350335e-05,0.00485450045912243,"30288"
"29423",-1.54379802317749,7.12866551873017,6.71573744905107e-11,1.19378022585718e-08,"29423"
"14460",-1.52091809164849,3.39143591863302,1.21149035283921e-07,1.29339140184032e-05,"14460"
"3261",-1.50017586357826,4.77552729746616,5.19781647019275e-09,7.05124839574832e-07,"3261"
"34223",-1.48571998286347,2.3541088509508,9.77576171814475e-06,0.000695775861142511,"34223"
"15316",-1.48310957819044,8.84691117835792,2.24706411732059e-10,3.65249138168979e-08,"15316"
"773",-1.4819948524657,1.1574149779816,0.00125686276274502,0.0444646007780921,"773"
"3993",-1.4667201878145,5.37980868144702,3.07773905573395e-09,4.35530250298666e-07,"3993"
"10446",-1.44745199729141,3.95755869963582,8.25246939672369e-08,9.10673878228668e-06,"10446"
"41370",-1.43834824146543,6.3666248480994,2.72531250719778e-09,3.88707121827004e-07,"41370"
"327",-1.43710956454086,5.66523778174992,3.76348360439834e-09,5.25759875851939e-07,"327"
"15315",-1.43564435744511,8.4732526158455,8.24610649680147e-10,1.25553060311005e-07,"15315"
"37716",-1.42803754479358,3.62633932640136,2.87933834842544e-07,2.8544209973333e-05,"37716"
"41369",-1.42755897379157,6.48927314843339,3.05609791129711e-09,4.34170445390378e-07,"41369"
"8212",-1.4130916336085,3.18279483750198,3.79747041280756e-06,0.00030050815755737,"8212"
"326",-1.40038193087687,5.60367478487056,8.7940336944778e-09,1.16239086397521e-06,"326"
"24524",-1.39214226395392,1.93295693954108,0.000418772555846646,0.0179470399972995,"24524"
"34775",-1.39046074929896,7.66590169789016,3.29443894933661e-09,4.62567429909772e-07,"34775"
"3994",-1.38409490678829,6.54742825172714,6.3343255872303e-09,8.49717988160614e-07,"3994"
"37281",-1.37369416489008,2.45345717200254,0.000193137768574467,0.00928012833423389,"37281"
"41105",-1.3680256764274,5.78557663737538,2.15792403888942e-08,2.62184137856312e-06,"41105"
"34773",-1.36530005450715,7.60559001625266,6.28598067129013e-09,8.46379151207105e-07,"34773"
"3990",-1.34818319665536,6.85736333276412,1.18684606718505e-08,1.52410463823389e-06,"3990"
"3992",-1.34771373127677,6.9498387845178,1.15466011618006e-08,1.48806822472705e-06,"3992"
"2810",-1.34103150207446,4.56443188176549,2.24299216283733e-07,2.2735497807861e-05,"2810"
"34772",-1.33749189899915,7.59837959877739,1.24794494908961e-08,1.59124005257592e-06,"34772"
"34774",-1.31830035152991,7.5593424421843,1.99009229778163e-08,2.4343213751e-06,"34774"
