"","logFC","logCPM","PValue","FDR","ID"
"10721",-9.66817143492697,2.32692575644987,4.08116214407156e-45,2.45447893281371e-41,"10721"
"9886",-8.0734593931356,0.907338725713857,4.64050431691242e-22,3.8057408699042e-19,"9886"
"30359",-7.26749009854556,0.427127824506752,2.32913562146873e-14,7.30842251310427e-12,"30359"
"10722",-7.14284571967541,0.202566748726568,2.43043896454191e-13,6.59416466432292e-11,"10722"
"7493",-7.13969842717855,0.238987460555365,2.43043896454191e-13,6.59416466432292e-11,"7493"
"33335",-7.05171325617409,0.181664693565142,1.02711860561982e-12,2.53860101943776e-10,"33335"
"30361",-7.05108600785737,0.255504971089466,1.02711860561982e-12,2.53860101943776e-10,"30361"
"30358",-6.89721437372509,0.199863609322913,1.20489847516706e-11,2.65114399246361e-09,"30358"
"39906",-6.86698778751512,0.0191488077203955,1.99014022381932e-11,4.17524476607675e-09,"39906"
"12678",-6.48843609443859,-0.214541853174638,3.61593379874248e-09,5.69785900120622e-07,"12678"
"34993",-6.38208146285025,2.22981738640088,1.34359978539807e-38,6.06047478201119e-35,"34993"
"28880",-6.35246027714882,-0.266048657188035,1.84606247965083e-08,2.67530781438555e-06,"28880"
"19912",-6.0466137199322,0.787373287695907,6.09696074137455e-19,3.54852948955646e-16,"19912"
"3493",-5.94133042966699,0.811926211950119,9.15934524130965e-18,4.5276023703104e-15,"3493"
"8956",-5.90709799912582,1.34762611910488,3.31939595003096e-25,4.60693857141797e-22,"8956"
"28322",-5.84499629921034,0.102780068210701,3.04217644153681e-06,0.00030241580411255,"28322"
"34132",-5.71883242170832,0.583918268511823,1.18878143156267e-15,4.4223894801999e-13,"34132"
"8962",-5.71487543144638,1.62132723128868,2.98672599976623e-28,5.98755598342024e-25,"8962"
"11422",-5.54776219804537,-0.588221174956237,3.28780018213985e-05,0.00266607347353969,"11422"
"30178",-5.46030222552207,-0.726355936409816,6.03024432698547e-05,0.00456187351235368,"30178"
"24341",-5.24060308759158,1.54876147773066,6.42256427331776e-26,9.65659299177798e-23,"24341"
"22388",-5.17024360847254,-0.762845365648668,0.00038295124534513,0.0225428967182366,"22388"
"37912",-5.14303621537907,2.33627971493309,1.50826967884888e-35,5.44259113612618e-32,"37912"
"17703",-5.1296888964553,1.94102397428461,3.5048989152628e-30,8.43161849048389e-27,"17703"
"12677",-5.09849928793711,0.122622992328131,8.42100249959323e-11,1.5993256589359e-08,"12677"
"8642",-5.0555702530692,-0.320058206832162,0.000716200599523131,0.0389805409257801,"8642"
"37910",-5.02606612370743,2.27431090782876,9.02112905945513e-33,2.71272868425365e-29,"37910"
"37911",-4.86759184128636,2.23807793014028,7.4078487271771e-33,2.43011110291078e-29,"37911"
"16446",-4.69460942857259,1.08161971538503,5.34129885497514e-19,3.21234615302963e-16,"16446"
"3495",-4.64549443140009,0.412835996806036,3.75001074438835e-12,8.6190533574047e-10,"3495"
"34771",-4.5830632760469,1.8709487168762,2.61863897158668e-26,4.29516305862297e-23,"34771"
"38426",-4.46348555068131,2.6067100315238,1.2000285890001e-32,3.33100243338988e-29,"38426"
"34904",-4.39107925932135,1.64322042447635,5.34739047451596e-22,4.28801300606463e-19,"34904"
"39134",-4.25971997783849,1.89623896146683,3.01892263718351e-23,2.86678482533597e-20,"39134"
"26419",-4.24875859161544,1.51861983635202,2.72849096374856e-20,1.72732625310292e-17,"26419"
"28513",-4.22561521321533,-0.40336615669254,3.56935054632483e-06,0.000350953717885917,"28513"
"30360",-4.14617127047242,0.141161224091742,8.5010955722787e-09,1.28891610809108e-06,"30360"
"21350",-4.11067321431368,-0.463088746289075,1.05128598844858e-05,0.000953157158119775,"21350"
"16445",-3.98258563650608,1.1316491914135,9.11581646212272e-18,4.5276023703104e-15,"16445"
"21622",-3.91925013661708,1.93388853193968,4.17709578585887e-23,3.86488465212095e-20,"21622"
"26420",-3.89965709031688,1.40623931343641,1.54721358900694e-17,7.44416031457537e-15,"26420"
"20562",-3.88320818650824,0.773444015639921,3.79639516506061e-13,9.78520853794371e-11,"20562"
"9391",-3.83571102268431,-0.588193755423474,9.41205297720217e-05,0.00677912039286109,"9391"
"3494",-3.83299824885353,0.477802484148914,5.13786658358586e-11,1.01311429327156e-08,"3494"
"21538",-3.69117530191785,1.96509552339177,3.28172567578371e-14,1.00356839839538e-11,"21538"
"34133",-3.66728727411607,0.103939217189287,3.31363995387068e-08,4.68912540138915e-06,"34133"
"28879",-3.64800872933915,-0.265069436611399,2.94411137466381e-06,0.000295439989124455,"28879"
"2211",-3.59727078146448,-0.656115585606326,0.000499093506445149,0.0283172785850208,"2211"
"192",-3.54403287587512,1.4709454833881,1.60595278875259e-17,7.62510610291281e-15,"192"
"13358",-3.37465806868512,2.92213688752496,4.59736760691975e-26,7.21287000416083e-23,"13358"
"20560",-3.359216090909,1.65838785332331,3.19544381553643e-18,1.67112449396568e-15,"20560"
"39771",-3.32505039119829,-0.293099279905784,6.10618526978482e-05,0.0046000353958285,"39771"
"38907",-3.28465158427611,-0.0700134151509547,3.41385141904158e-06,0.000336581498513976,"38907"
"191",-3.28323627779729,1.68631185745924,3.6044438644718e-17,1.56682095508641e-14,"191"
"18094",-3.12361940932654,-0.188973736202638,0.00028332432986641,0.0175665952632808,"18094"
"28299",-3.10984420807469,0.944995035133548,1.9479288244107e-10,3.58627610351327e-08,"28299"
