"","logFC","logCPM","PValue","FDR","ID"
"38485",2.71840062719059,5.94561665198571,5.7712820624035e-27,6.5080222881822e-24,"38485"
"38105",4.2976885864597,2.16849388084422,1.38203539137988e-26,1.51123476054372e-23,"38105"
"3999",4.8661134689023,1.79194163724131,1.43127123584134e-26,1.51904183956867e-23,"3999"
"13613",2.80793544510152,4.44255230830801,1.44992917964459e-25,1.49487698421357e-22,"13613"
"9574",2.82354201325162,4.3188788888653,5.29024430755041e-25,5.30273516216546e-22,"9574"
"24695",3.16775745311431,3.2546186934045,1.73050494556018e-24,1.68771002596052e-21,"24695"
"29720",3.54630731512787,2.54198230557954,2.16217755645024e-24,2.05321518748703e-21,"29720"
"30173",2.70687609802196,4.85715424130685,3.34116180577885e-24,3.09143137850076e-21,"30173"
"7890",2.54890797339394,5.48037876355661,7.84023659517516e-24,7.07287343842239e-21,"7890"
"9490",3.8884094265894,2.19357480126116,1.16463377194682e-23,1.02501974782197e-20,"9490"
"12804",4.08535349857097,2.0650896854408,1.45453781868909e-23,1.24969040922371e-20,"12804"
"3905",2.4952328551678,5.63398333812269,3.73842520733611e-23,3.1372342699238e-20,"3905"
"39965",3.20288794344481,2.88752389603072,6.51030508456375e-23,5.33918997673825e-20,"39965"
"2936",2.55883390481479,4.79312303968419,1.336853455419e-22,1.07200793197321e-19,"2936"
"23498",3.52561449722444,2.32049161717138,2.36440784691861e-22,1.85477515556648e-19,"23498"
"2628",2.74075912350066,3.69885379332484,4.29315277263726e-22,3.29613654894927e-19,"2628"
"36983",2.48270876581949,5.18240734959437,6.85706150127917e-22,5.15493883903456e-19,"36983"
"9489",3.00832195348887,3.54420612037723,9.68518444770386e-22,7.13244654684477e-19,"9489"
"14300",2.98682503310886,2.98735415923806,1.38043468966141e-21,9.96259715528639e-19,"14300"
"16186",3.24420172643984,2.60540593704306,1.41590912493749e-21,1.00182511320332e-18,"16186"
"37629",6.26293976874592,1.03356299774023,1.71648765691027e-21,1.19114340576167e-18,"37629"
"28655",2.52613256172539,4.43380427893792,2.0148814383403e-21,1.37183012646245e-18,"28655"
"30231",5.15516286706872,1.14253065534545,2.21882006125348e-21,1.48270596130244e-18,"30231"
"2151",2.95982942417068,2.72566084459141,4.90291441958026e-21,3.21675757873734e-18,"2151"
"9999",3.63049953468367,2.03401351693482,5.60437372425548e-21,3.61131831856712e-18,"9999"
"4779",5.52396256001045,1.14069150231918,7.22414771174096e-21,4.57339245926618e-18,"4779"
"18037",3.80485843869627,1.89569733782441,7.44340676401104e-21,4.63095401860928e-18,"18037"
"1238",2.25739126686761,7.04250240784687,9.55507749228544e-21,5.84398256456136e-18,"1238"
"17730",3.44110265056202,2.66300455764148,1.00231152240935e-20,6.02806854769021e-18,"17730"
"3906",2.36203309047472,5.29252443980179,1.10682397946841e-20,6.54749890149467e-18,"3906"
"16363",3.06700041086315,2.87016790360224,2.32603414383758e-20,1.35378938839321e-17,"16363"
"20605",4.23010772055621,2.20408656051208,2.72849096374856e-20,1.56281899090265e-17,"20605"
"38375",2.60008126508974,3.60205444475915,3.44227787343932e-20,1.94085307911028e-17,"38375"
"2937",2.38667588932605,4.5477167499318,7.76521501751537e-20,4.31088898318526e-17,"2937"
"40202",2.45816776418909,4.09102076115903,1.28010059994032e-19,6.9988530528555e-17,"40202"
"37541",3.47173220207223,1.98440366419773,1.48294663904672e-19,7.98688499552254e-17,"37541"
"37538",3.16066707189147,2.31789500972679,1.51433655450072e-19,8.03600508369979e-17,"37538"
"40965",3.63055955379717,1.83026791297431,1.60816060741236e-19,8.41021384325725e-17,"40965"
"28150",3.06349725057506,2.6435232704238,1.64132514184185e-19,8.46103110619472e-17,"28150"
"19895",2.65416047583906,3.19989831740151,6.16636186447432e-19,3.13398827999374e-16,"19895"
"30840",2.66576799884547,3.46050004328966,8.49202909250793e-19,4.19773794250888e-16,"30840"
"32868",2.16213286659512,6.30407705761951,9.63188408247253e-19,4.69684509616245e-16,"32868"
"14059",3.44353745225297,1.88528929132116,1.21255787683183e-18,5.83402013139687e-16,"14059"
"1694",2.43313431992914,3.98263018693638,1.42637598078048e-18,6.59881759826455e-16,"1694"
"7272",2.51568284197803,3.48782261171078,2.10109593004782e-18,9.59722109313615e-16,"7272"
"39185",4.20731420457119,1.52375152769941,2.57841652569554e-18,1.16302700412155e-15,"39185"
"24723",2.09893258814036,6.64595498678191,5.67465364953281e-18,2.49719362126087e-15,"24723"
"9698",2.25730561041433,4.41261303215261,5.86593165072735e-18,2.5502667905602e-15,"9698"
"4642",2.11968165503771,5.82027366917086,7.2649215253734e-18,3.12088920527499e-15,"4642"
"24811",2.08162490507435,6.17638868103618,1.52805543649646e-17,6.41161400302031e-15,"24811"
"15050",4.29537552637162,1.17634834504429,2.0116570472111e-17,8.34375224696694e-15,"15050"
"35311",2.10463246653587,5.56991005159855,2.19865618237381e-17,9.0157395841999e-15,"35311"
"7805",3.13007249167333,1.97024172627918,2.91641340879984e-17,1.1824581781634e-14,"7805"
"39475",2.62886515022594,3.03275771760892,3.13917683338651e-17,1.25863551147502e-14,"39475"
"40203",2.35217966876604,3.75238590334703,3.28185186152798e-17,1.30138048816744e-14,"40203"
"15534",2.94676870226835,2.24756209224824,3.36033640953006e-17,1.31801890584666e-14,"15534"
"23079",2.03883450271476,6.6312967660356,3.65858925105324e-17,1.41957196907802e-14,"23079"
"27854",2.34924853369596,3.74022539295803,3.86277238001777e-17,1.48285256737172e-14,"27854"
"1370",4.26642356353498,1.14743459863605,3.92322071072735e-17,1.4902044141747e-14,"1370"
"24799",2.14923500774145,4.86097745359822,5.29121302133092e-17,1.98888981119506e-14,"24799"
"14217",2.63444311819933,2.93708355839727,5.39774076209701e-17,2.00801521031207e-14,"14217"
"2690",2.10684510458186,5.14766266037529,5.73322036907681e-17,2.11105364304221e-14,"2690"
"25936",4.0784225960697,1.18279917641073,6.27577298843679e-17,2.28748755846204e-14,"25936"
"34770",2.2489897724178,3.92833770503312,6.88111704458056e-17,2.48305108553689e-14,"34770"
"23704",2.14781330726462,4.88599137322078,9.59496595156392e-17,3.42806283526915e-14,"23704"
