"","logFC","logCPM","PValue","FDR","ID"
"1779",7.39755141778894,2.65421394991329,3.70019929388497e-49,3.33804228799598e-45,"1779"
"8053",6.05719551423057,-0.393143192925382,1.71302788779663e-07,1.85939991225483e-05,"8053"
"29180",5.93215130505573,0.0542625041251489,1.69667643243861e-06,0.0001471744448667,"29180"
"4266",5.59525300550872,0.518247166963122,4.20427203746331e-15,1.63130275776197e-12,"4266"
"17782",5.58861297377355,0.435989673140148,6.43352191857796e-15,2.46971955778602e-12,"17782"
"9368",5.51101788282318,-0.46747788182384,6.03024432698547e-05,0.00314907911055384,"9368"
"2913",5.47019501529654,-0.718805500029386,3.28780018213985e-05,0.00190739983235557,"2913"
"12896",5.46976295795604,0.435260400948231,5.58293541284448e-14,1.83145658520448e-11,"12896"
"37629",5.45574583623315,1.03356299774023,2.87902904373037e-20,2.59724407607526e-17,"37629"
"5977",5.42626743752358,0.323889403828767,6.03024432698547e-05,0.00314907911055384,"5977"
"27689",5.35964063270291,-0.585931263843331,0.000111129286007914,0.00519454737348862,"27689"
"3273",5.27867781989188,-0.793774128371219,0.000111129286007914,0.00519454737348862,"3273"
"4673",5.27867781989188,-0.793774128371219,0.000111129286007914,0.00519454737348862,"4673"
"16648",5.2369101231469,-0.244753056375003,0.00038295124534513,0.0141267803530532,"16648"
"17234",5.23054177082232,2.60549354861441,1.2638725144812e-38,5.70085496063177e-35,"17234"
"27976",5.1952814506242,1.79183395692116,7.26263614245172e-29,1.63795140750232e-25,"27976"
"32950",5.13646271966647,-0.625548953059328,0.00038295124534513,0.0141267803530532,"32950"
"30231",5.13624100069373,1.14253065534545,3.06718733188494e-21,3.25527808444317e-18,"30231"
"31265",5.10397083024119,3.77007895936428,3.32216940729638e-52,3.99601610207633e-48,"31265"
"21098",5.05882792745302,-0.872754087982073,0.00038295124534513,0.0141267803530532,"21098"
"31867",5.05575903283581,-0.757878727073129,0.00038295124534513,0.0141267803530532,"31867"
"40515",5.04042883083537,0.202008242415037,0.000716200599523131,0.0233249987669605,"40515"
"29381",5.02516173510344,-0.466774816747315,0.000716200599523131,0.0233249987669605,"29381"
"7178",4.93535779222646,-0.873436390641112,0.000716200599523131,0.0233249987669605,"7178"
"8831",4.91377857456818,-0.87877211454711,0.00134626250920784,0.0386474802265434,"8831"
